Fecha,Producto,Vendedor,Ciudad,Cantidad,Precio_Unitario,Total
2024-04-09,Notebook,Juan,Rosario,1,98070,98070
2024-04-10,Notebook,Sofía,Buenos Aires,3,84767,254301
2024-04-11,Auriculares,Lucía,Mendoza,4,102829,411316
2024-04-12,Auriculares,Pedro,Córdoba,1,47078,47078
2024-04-13,Auriculares,Juan,La Plata,1,111288,111288
2024-04-14,Auriculares,Juan,Córdoba,8,88524,708192
2024-04-15,Monitor,Lucía,La Plata,2,17219,34438
2024-04-16,Teclado,Pedro,Rosario,8,5235,41880
2024-04-17,Teclado,Pedro,La Plata,7,47929,335503
2024-04-18,Auriculares,Sofía,Mendoza,2,132309,264618
2024-04-19,Teclado,Pedro,Buenos Aires,6,72444,434664
2024-04-20,Teclado,Pedro,La Plata,6,144639,867834
2024-04-21,Auriculares,Pedro,La Plata,3,106834,320502
2024-04-22,Teclado,María,Buenos Aires,2,89555,179110
2024-04-23,Notebook,Sofía,Mendoza,1,78698,78698
2024-04-24,Mouse,Juan,Córdoba,6,129450,776700
2024-04-25,Mouse,Lucía,La Plata,5,141487,707435
2024-04-26,Auriculares,Juan,Buenos Aires,9,48925,440325
2024-04-27,Monitor,Sofía,Rosario,1,142023,142023
2024-04-28,Auriculares,Lucía,Buenos Aires,7,92388,646716
2024-04-29,Monitor,Sofía,Rosario,5,13007,65035
2024-04-30,Mouse,Pedro,Mendoza,5,63596,317980
2024-05-01,Auriculares,Lucía,Córdoba,2,126101,252202
2024-05-02,Impresora,Pedro,Buenos Aires,3,93861,281583
2024-05-03,Notebook,Juan,La Plata,7,91740,642180
2024-05-04,Teclado,Juan,Mendoza,6,20524,123144
2024-05-05,Monitor,Lucía,Buenos Aires,2,136149,272298
2024-05-06,Impresora,Lucía,La Plata,6,130501,783006
2024-05-07,Teclado,Sofía,Buenos Aires,2,25611,51222
2024-05-08,Teclado,Sofía,Rosario,2,19060,38120
2024-05-09,Auriculares,Pedro,Buenos Aires,2,48303,96606
2024-05-10,Teclado,Lucía,Buenos Aires,3,44711,134133
2024-05-11,Notebook,Juan,Buenos Aires,2,148026,296052
2024-05-12,Impresora,Sofía,Mendoza,4,78340,313360
2024-05-13,Teclado,Sofía,Buenos Aires,9,107974,971766
2024-05-14,Auriculares,Juan,La Plata,6,145256,871536
2024-05-15,Notebook,Sofía,Rosario,1,72728,72728
2024-05-16,Mouse,Pedro,Rosario,8,16246,129968
2024-05-17,Impresora,Lucía,Buenos Aires,7,132796,929572
2024-05-18,Teclado,Juan,Mendoza,3,97263,291789
2024-05-19,Auriculares,Lucía,Mendoza,1,140090,140090
2024-05-20,Mouse,Sofía,La Plata,5,16302,81510
2024-05-21,Mouse,Sofía,Buenos Aires,4,72506,290024
2024-05-22,Monitor,Juan,Rosario,8,46157,369256
2024-05-23,Notebook,Pedro,Mendoza,1,59917,59917
2024-05-24,Teclado,María,Buenos Aires,1,101646,101646
2024-05-25,Auriculares,Juan,Mendoza,4,88122,352488
2024-05-26,Monitor,María,Mendoza,8,29519,236152
2024-05-27,Notebook,María,Rosario,5,85910,429550
2024-05-28,Monitor,Pedro,Córdoba,2,125430,250860
2024-05-29,Impresora,María,La Plata,6,76324,457944
2024-05-30,Notebook,María,La Plata,5,10408,52040
2024-05-31,Notebook,Pedro,Rosario,2,64379,128758
2024-06-01,Teclado,María,Mendoza,3,30053,90159
2024-06-02,Notebook,María,Buenos Aires,9,145518,1309662
2024-06-03,Monitor,María,Mendoza,7,136994,958958
2024-06-04,Notebook,Juan,Rosario,7,103723,726061
2024-06-05,Teclado,Juan,La Plata,6,56356,338136
2024-06-06,Teclado,Juan,Mendoza,8,15789,126312
2024-06-07,Impresora,Pedro,La Plata,4,102720,410880
2024-06-08,Monitor,Sofía,Buenos Aires,8,71656,573248
2024-06-09,Mouse,María,La Plata,4,49028,196112
2024-06-10,Mouse,María,La Plata,8,69484,555872
2024-06-11,Notebook,Pedro,Córdoba,9,37154,334386
2024-06-12,Impresora,María,Córdoba,3,7336,22008
2024-06-13,Auriculares,Juan,Córdoba,3,108677,326031
2024-06-14,Notebook,Sofía,La Plata,2,72779,145558
2024-06-15,Impresora,Lucía,Rosario,3,24029,72087
2024-06-16,Monitor,María,La Plata,3,64201,192603
2024-06-17,Monitor,Juan,Rosario,5,37265,186325
2024-06-18,Monitor,Lucía,Rosario,5,107916,539580
2024-06-19,Monitor,Sofía,Córdoba,2,51197,102394
2024-06-20,Monitor,Lucía,Mendoza,6,130733,784398
2024-06-21,Impresora,Juan,Buenos Aires,5,76907,384535
2024-06-22,Impresora,Lucía,Córdoba,6,133876,803256
2024-06-23,Teclado,Pedro,Córdoba,1,69435,69435
2024-06-24,Mouse,Lucía,Mendoza,5,45631,228155
2024-06-25,Monitor,María,Buenos Aires,9,134038,1206342
2024-06-26,Auriculares,María,La Plata,2,25103,50206
2024-06-27,Impresora,Pedro,La Plata,1,69772,69772
2024-06-28,Auriculares,Juan,Córdoba,9,131108,1179972
2024-06-29,Auriculares,María,Buenos Aires,9,19382,174438
2024-06-30,Auriculares,Sofía,Córdoba,9,89291,803619
2024-07-01,Teclado,María,Rosario,6,106195,637170
2024-07-02,Impresora,María,Córdoba,8,139828,1118624
2024-07-03,Auriculares,Juan,Córdoba,1,25609,25609
2024-07-04,Monitor,Lucía,La Plata,4,80683,322732
2024-07-05,Notebook,María,La Plata,1,129714,129714
2024-07-06,Auriculares,Pedro,La Plata,8,135330,1082640
2024-07-07,Teclado,Lucía,Rosario,1,76315,76315
2024-07-08,Impresora,Sofía,La Plata,3,82834,248502
2024-07-09,Teclado,Juan,Buenos Aires,4,131205,524820
2024-07-10,Auriculares,Sofía,Mendoza,8,19153,153224
2024-07-11,Impresora,Lucía,Buenos Aires,6,81325,487950
2024-07-12,Notebook,Lucía,Buenos Aires,7,149071,1043497
2024-07-13,Auriculares,Lucía,La Plata,8,60318,482544
2024-07-14,Teclado,Sofía,Mendoza,2,136886,273772
2024-07-15,Mouse,Lucía,Mendoza,8,120033,960264
2024-07-16,Monitor,Sofía,Mendoza,3,81077,243231
2024-07-17,Teclado,Lucía,Rosario,7,95474,668318
2024-07-18,Impresora,Pedro,La Plata,3,138515,415545
